,filename,ywt,hao,ford,unknown,DOD
0,ford001.jpg,0,0,1,7,0
1,ford002.jpg,0,0,1,4,0
2,ford003.jpg,0,0,1,0,0
3,ford004.jpg,0,0,1,0,0
4,ford005.jpg,0,0,1,0,0
5,ford006.jpg,0,0,1,1,0
6,ford007.jpg,0,0,1,1,0
7,hao001.jpg,0,1,0,3,0
9,hao003.jpg,0,1,0,11,0
10,hao004.jpg,0,1,0,8,0
11,hao005.jpg,0,1,0,2,0
14,hao008.jpg,0,1,0,11,0
15,hao009.jpg,0,1,0,3,0
16,ywt001.png,1,0,0,1,0
17,ywt002.png,1,0,0,1,0
18,ywt003.png,1,0,0,1,0
19,ywt004.png,1,0,0,1,0
20,ywt005.png,1,0,0,0,0
21,ywt006.png,1,0,0,1,0
23,ywt008.png,1,0,0,1,0
24,ywt009.png,1,0,0,1,0
25,ywt010.jpg,1,0,0,10,0
26,ywt011.jpg,1,0,0,2,0
27,ywt012.jpg,1,0,0,4,0
28,ywt013.jpg,1,0,0,4,0
29,ywt014.jpg,1,0,0,8,0
30,ywt015.jpg,1,0,0,7,0
31,ywt016.jpg,1,0,0,23,0
32,ywt017.jpg,0,0,0,30,0
33,ywt018.jpg,1,0,0,9,0
34,ywt019.jpg,1,0,0,9,0
35,ywt_hao_ford001.jpg,1,1,1,2,0
36,ywt_hao_ford002.jpg,1,1,1,2,0
